Wavelength,Flux,BestFit,SkyFlux
4279.570,9.362,10.193,7.477
4280.554,8.740,8.658,6.933
4281.539,8.485,8.237,6.738
4282.526,10.106,7.303,6.984
4283.512,8.917,6.633,6.924
4284.499,7.866,8.015,6.920
4285.485,8.753,10.218,7.018
4286.473,10.473,11.504,6.951
4287.459,11.737,12.375,6.670
4288.445,12.789,12.384,6.403
4289.435,13.275,12.827,6.231
4290.421,12.278,14.234,5.979
4291.411,14.480,14.866,6.253
4292.398,14.536,14.120,6.918
4293.388,13.873,14.438,7.409
4294.375,13.467,14.852,7.424
4295.363,13.235,15.422,7.264
4296.354,13.656,15.172,7.146
4297.342,14.639,14.958,6.894
4298.333,13.505,15.438,6.556
4299.322,12.399,15.320,6.511
4300.313,14.081,15.662,6.536
4301.303,14.744,15.937,6.104
4302.292,15.259,15.547,5.327
4303.284,15.614,15.314,5.048
4304.274,13.481,15.707,5.568
4305.267,14.418,15.626,5.993
4306.257,14.303,15.647,6.062
4307.250,14.451,15.215,6.153
4308.241,13.322,14.699,6.358
4309.232,14.199,14.762,6.533
4310.226,15.567,15.067,6.580
4311.217,14.531,14.195,6.428
4312.211,13.527,12.927,6.326
4313.204,13.409,12.505,7.028
4314.198,12.616,12.051,8.260
4315.190,9.794,11.064,9.262
4316.184,11.002,9.752,9.389
4317.179,10.033,8.565,9.060
4318.172,12.021,8.257,8.727
4319.167,11.016,7.586,8.424
4320.161,10.614,7.327,8.473
4321.157,12.332,8.069,8.757
4322.151,13.122,9.418,8.428
4323.146,12.190,10.187,7.615
4324.143,11.584,9.380,6.698
4325.138,11.572,8.978,6.082
4326.135,11.041,8.691,6.671
4327.130,11.523,9.112,7.349
4328.128,11.938,10.382,7.121
4329.124,12.951,10.832,7.076
4330.120,11.366,11.515,7.208
4331.118,11.531,12.581,7.073
4332.114,12.802,13.693,7.025
4333.113,13.535,14.292,6.971
4334.110,14.824,14.421,6.771
4335.110,14.566,14.870,6.774
4336.107,13.099,15.058,7.243
4337.107,15.168,15.215,7.618
4338.104,13.149,15.551,7.140
4339.103,17.213,16.046,6.798
4340.103,17.148,16.322,6.667
4341.102,16.718,16.068,6.493
4342.103,16.078,16.480,6.602
4343.102,16.550,17.215,7.190
4344.103,14.929,17.609,7.676
4345.103,15.063,17.306,7.801
4346.102,15.209,16.953,8.160
4347.104,15.310,17.655,8.822
4348.104,17.437,17.612,9.196
4349.107,15.783,17.823,9.690
4350.107,15.576,17.178,9.490
4351.110,16.384,16.361,8.084
4352.111,16.945,16.656,7.346
4353.113,18.153,17.318,6.999
4354.117,19.936,17.041,6.872
4355.118,16.298,17.529,7.597
4356.123,16.651,17.938,7.978
4357.125,17.759,18.071,13.124
4358.129,17.562,18.072,27.464
4359.132,14.834,17.415,43.760
4360.135,12.126,17.032,44.974
4361.140,17.011,16.831,29.304
4362.144,16.674,16.737,15.660
4363.149,14.771,16.901,11.783
4364.153,15.795,17.181,10.043
4365.159,16.171,17.166,8.903
4366.164,17.544,17.862,8.791
4367.168,16.333,17.915,8.626
4368.175,16.925,18.125,8.225
4369.180,17.156,18.387,8.127
4370.188,16.576,18.121,8.074
4371.193,17.111,17.753,7.677
4372.201,17.147,17.701,7.743
4373.207,15.877,18.456,7.786
4374.213,16.172,19.170,7.855
4375.221,17.778,19.194,8.486
4376.228,19.547,18.731,8.763
4377.237,18.169,18.697,8.616
4378.244,17.895,19.413,8.777
4379.253,16.647,18.208,8.581
4380.261,19.008,17.047,7.965
4381.269,17.795,17.223,7.760
4382.279,15.916,17.833,7.740
4383.287,16.503,17.453,7.060
4384.298,17.375,17.609,6.542
4385.307,17.570,17.900,6.531
4386.318,17.660,17.982,6.915
4387.327,19.788,17.640,7.227
4388.336,16.609,16.915,7.263
4389.348,14.020,16.347,7.254
4390.358,15.935,16.638,6.900
4391.370,17.442,17.010,6.809
4392.380,15.987,16.883,7.155
4393.394,16.401,16.932,7.513
4394.404,16.521,17.764,7.488
4395.415,17.523,18.570,7.316
4396.429,18.311,18.772,7.184
4397.440,17.293,19.506,7.339
4398.454,17.601,18.918,7.445
4399.466,17.366,17.961,7.521
4400.480,18.445,18.034,7.464
4401.493,16.914,17.605,8.142
4402.505,15.388,17.431,9.077
4403.521,14.802,16.816,8.653
4404.534,16.123,16.464,8.353
4405.549,14.559,16.821,8.620
4406.562,15.173,17.565,8.827
4407.579,18.024,18.071,9.017
4408.593,17.775,18.392,9.376
4409.607,17.374,18.459,9.369
4410.624,19.005,18.639,8.955
4411.639,16.944,18.532,9.248
4412.656,16.364,17.894,9.961
4413.671,14.690,17.559,9.733
4414.688,16.538,17.403,9.122
4415.704,15.489,17.220,9.037
4416.723,16.430,17.192,9.537
4417.739,15.835,17.382,9.489
4418.755,17.835,17.342,8.912
4419.774,17.303,16.794,8.740
4420.791,16.980,17.905,9.301
4421.810,16.734,18.105,9.715
4422.827,14.522,17.586,9.512
4423.847,14.658,17.156,8.828
4424.865,16.909,17.095,8.403
4425.883,15.840,17.218,9.036
4426.903,17.136,17.326,9.610
4427.922,17.752,17.459,9.176
4428.943,17.964,17.857,8.769
4429.962,17.280,18.202,8.630
4430.983,18.528,18.156,8.474
4432.002,18.016,17.930,8.503
4433.022,16.753,17.267,8.681
4434.044,17.252,16.242,8.275
4435.064,17.473,16.681,7.376
4436.087,16.181,17.282,7.044
4437.108,15.392,16.599,7.678
4438.131,15.592,16.477,8.320
4439.152,16.270,15.944,8.943
4440.173,15.629,16.121,9.062
4441.197,17.292,16.179,8.186
4442.219,16.344,16.429,7.489
4443.243,15.078,17.323,7.247
4444.265,16.828,17.684,7.473
4445.290,16.224,17.427,7.927
4446.312,14.695,17.002,8.292
4447.335,16.433,16.280,8.337
4448.361,17.526,16.258,7.993
4449.384,15.564,17.169,7.670
4450.411,15.061,17.009,7.846
4451.434,17.144,16.515,8.127
4452.461,17.461,16.155,7.933
4453.485,18.024,16.215,7.641
4454.510,17.981,16.233,7.350
4455.537,15.226,15.840,6.855
4456.562,17.883,15.515,6.552
4457.589,16.543,15.115,6.779
4458.615,14.468,14.619,7.008
4459.643,14.073,13.665,7.117
4460.669,14.012,12.953,7.073
4461.695,14.127,12.874,7.037
4462.724,14.340,12.613,7.033
4463.750,14.120,14.035,7.135
4464.780,15.829,16.503,7.507
4465.807,19.679,17.895,7.512
4466.837,17.534,17.147,7.423
4467.864,13.741,14.954,7.369
4468.892,15.176,13.190,7.250
4469.923,14.782,12.652,6.783
4470.951,14.660,12.976,6.559
4471.982,13.561,13.294,6.906
4473.011,16.422,13.574,7.189
4474.042,14.990,14.084,7.514
4475.072,14.869,14.547,7.663
4476.101,15.003,14.975,7.813
4477.133,14.738,15.591,7.942
4478.163,16.760,15.752,7.793
4479.196,16.376,15.930,7.498
4480.227,17.583,16.541,7.254
4481.259,16.456,16.653,7.235
4482.291,16.289,16.946,7.354
4483.321,15.611,16.648,7.353
4484.355,16.300,16.246,7.575
4485.387,16.058,16.167,8.047
4486.421,16.289,16.295,8.394
4487.454,15.907,16.426,7.921
4488.488,17.236,17.234,7.471
4489.521,16.937,17.369,7.464
4490.554,15.468,17.344,7.539
4491.589,16.823,17.248,7.464
4492.623,17.808,16.981,7.612
4493.658,15.912,17.043,7.980
4494.692,16.560,16.585,8.218
4495.729,17.229,16.545,8.040
4496.763,16.813,16.470,7.973
4497.800,15.468,16.230,7.969
4498.834,16.077,16.280,7.954
4499.870,18.138,16.745,8.083
4500.907,16.505,16.642,7.853
4501.942,18.676,17.486,7.643
4502.980,16.971,18.024,7.736
4504.017,17.338,18.041,7.960
4505.055,19.222,18.219,8.047
4506.091,18.685,18.451,7.875
4507.128,17.948,18.795,7.802
4508.167,16.044,18.300,8.168
4509.205,16.780,17.334,8.184
4510.245,16.039,16.404,7.913
4511.282,15.878,15.950,7.770
4512.322,15.849,16.327,7.640
4513.360,18.161,16.709,7.423
4514.398,16.395,17.007,7.660
4515.439,16.912,17.987,7.845
4516.479,16.721,18.471,7.816
4517.520,16.580,17.570,7.753
4518.559,17.878,17.210,7.603
